235,All India Anna Dravida Munnetra Kazhagam,Votes,Dravida Munnetra Kazhagam,Votes,Indian National Congress,Votes,Bharatiya Janata Party,Votes,Desiya Murpokku Dravida Kazhagam,Votes,Bahujan Samaj Party,Votes,Naam Tamilar Katchi,Votes,Pattali Makkal Katchi,Votes,Indiya Jananayaka Katchi,Votes,Kongunadu Makkal Desia Katchi,Votes,Communist Party of India  (Marxist-Leninist)  (Liberation),Votes,Rashtriya Samaj Paksha,Votes,None of the Above,Votes,Youth And Students Party,Votes,Gokula Makkal Katchi,Votes,Viduthalai Chiruthaigal Katchi,Votes,Vijaya Bharatha Makkal (People) Party,Votes,Lok Jan Shakti Party,Votes,Vidiyalai Thedum Indhiyargal Party,Votes,Marumalarchi Dravida Munnetra Kazhagam,Votes,Shivsena,Votes,Samata Party,Votes,Communist Party of India  (Marxist),Votes,Nationalist Congress Party,,Valamaana Tamizhagam Katchi,,People's Party of India(secular),,Communist Party of India,Votes,The Future India Party,Votes,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Votes,Republican Party of India (A),Votes,Anbu Udhayam Katchi,Votes,Jebamani Janata,Votes,Makkalatchi Katchi,Votes,All India Women United Party,Votes,SOCIAL DEMOCRATIC PARTY OF INDIA,Votes,Jan Shakti Dal,Votes,Tamil Maanila Congress  (Moopanar),Votes,Gandhiya Makkal Iyakkam,Votes,Desiya Makkal Sakthi Katchi,Votes,Eluchi Desam Party,Votes,Christian Democratic Front,Votes,Tamilaga Sthabana Congress,Votes,Gandhiyan Peoples Party,Votes,Makkal Manadu Katchi,Votes,Thozhilalar Party,Votes,Akhila India Jananayaka Makkal Katchi (Dr. Isaac),Votes,All India Pattali Munnetra Katchi,Votes,Samajwadi Party,Votes,Bharat Pensioner's Front,Votes,Ulzaipali Makkal Katchy,Votes,Namadhu Makkal Katchi,Votes,Ganasangam Party of India,Votes,All Peoples Party,Votes,Indian Union Muslim League,Votes,All India Majlis-E-Ittehadul Muslimeen,Votes,Welfare Party Of India,Votes,Manithaneya Makkal Katchi,Votes,Sunder Samaj Party,Votes,United Communist Party of India,Votes,Puratchikara Thozilalar Katchi,Votes,Forward Democratic Labour Party,Votes,Republican Sena,Votes,Tamilar Makkal Katchi,Votes,Janata Dal  (Secular),Votes,Valimai Valartchi Indians Party,Votes,Republican Party of India,Votes,Sainik Samaj Party,Votes,Janata Dal  (United),Votes,Samuga Makkal Katchi,Votes,India Dravida Makkal Munnetra Katchi,Votes,Tamilaga Makkal Munnetra Kazhagam,Votes,India Makkal Munnetra Katchi,Votes,All India Forward Bloc,Votes,Indian Christian Front,Votes,Tamizhaga Vaazhvurimai Katchi,Votes,Puthiya Tamilagam,Votes,All India Forward Bloc  (Subhasist),Votes,Ezhuchi Tamilargal Munnetra Kazhagam,Votes,Anaithu Makkal Munnetra Kazhagam,Votes,"Makkal Sananayaga Kudiyarasu Katchi,",Votes,Rashtriya Janata Dal,Votes,Rashtriya Janta Party,Votes,Samajwadi Samaj Party,Votes,Socialistic Democratic Party,Votes,Makkal Kootamaipu Katchi,Votes,Jammu & Kashmir National Panthers Party,Votes,Desa Makkal Munnetrak Kazhgam,Votes,Democratic Party of India,Votes,Akhil Bharat Hindu Mahasabha,Votes,Democratic Corruption Liberation Front,Votes,Communist Party of India (Marxist-Leninist) Red Star,Votes,Ind Vote,Ind Count,First,Second,Third,Third-vote,Fourth,Fourth-vote,Fifth,Sixth,Margin,Margin ratio,Vote split,ADMK+,DMK+,DMDK+,BJP+,PMK,NTK,Margin - others,Total
Modakkurichi,SIVASUBRAMANI   V.P.,77067,SACHIDANANDAM   P.,74845,,,CHINNAMALAI KRISHNAKUMAR  J.,4052,RAMESH   M.,4853,PARTHIBAN   V.,1219,PRAKASH   G.,1713,NACHIMUTHU,2809,,,SURIAMOORTHI   S.,5607,,,,,None of the Above,2715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BASKARAN   G.,431,,,LAKSHMI P,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,831,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Kongunadu Makkal Desia Katchi,5607,Desiya Murpokku Dravida Kazhagam,4853,Bharatiya Janata Party,Pattali Makkal Katchi,2222,1.26%,Third,43.62%,42.36%,2.75%,2.29%,1.59%,0.97%,-12.75%,176668
Dharapuram (SC),PONNUSAMY. K,73521,,,KALIMUTHU. V.S,83538,SHANMUGHAM. M,7753,,,SELVARAJ. V,681,PICHAIMUTHU. R,1350,MADHAVAN. K,1515,,,PALANIAMMAL. K,1662,,,,,None of the Above,2883,,,,,,,,,,,,,THIRUVALLUVAN. NAGAI,7029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAMASAMY. V,295,MURALIDHARAN. V,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2418,Indian National Congress,All India Anna Dravida Munnetra Kazhagam,Bharatiya Janata Party,7753,Marumalarchi Dravida Munnetra Kazhagam,7029,Kongunadu Makkal Desia Katchi,Pattali Makkal Katchi,10017,5.48%,Fourth,40.19%,45.67%,3.84%,4.24%,0.83%,0.74%,-8.66%,182911
Kangayam,THANIYARASU U,83325,,,GOPI P,70190,USHADEVI M,7161,MUTHUVENKATESHWARAN K G,12108,THANGAVEL G,1136,SHANMUGAM V P,2871,AMIRTAVALLI V,1544,,,,,,,,,None of the Above,3141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POOVATHAL,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2433,All India Anna Dravida Munnetra Kazhagam,Indian National Congress,Desiya Murpokku Dravida Kazhagam,12108,Bharatiya Janata Party,7161,Naam Tamilar Katchi,Pattali Makkal Katchi,13135,7.12%,Fourth,45.18%,38.06%,6.57%,3.88%,0.84%,1.56%,-9.64%,184428
Perundurai,VENKATACHALAM.N.D,80292,SAMY.K.P (A) MOHANASUNDARAM.P,67521,,,CHANDRASEKARAN.A,2625,,,SEKAR.K,1306,LOGANATHAN,1469,KUMARESAN.P,1498,,,BALU.K.K.C,14545,,,,,None of the Above,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHANMUGAM.V.P,6304,NANDHAKUMAR.C.K,227,,,,,,,,,,,,,,,,,,,,,,,ASHOKKUMAR R.D,627,,,,,,,,,,,SENTHAMIZHAN.M,547,,,,,,,,,,,,,,,,,,,,,,,,,,,SUBIRAMANI.K,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3173,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Kongunadu Makkal Desia Katchi,14545,Tamil Maanila Congress  (Moopanar),6304,Bharatiya Janata Party,Pattali Makkal Katchi,12771,7.01%,Third,44.05%,37.05%,3.46%,1.44%,0.82%,0.81%,-11.89%,182263
Bhavani,KARUPPANAN K C,85748,SIVAKUMAR N,60861,,,SHITHIVINAYAGAN K A,2480,GOPAL P,6927,BALADHANDAPANI V S,560,SEETHALAKSHMI M K,1784,RAMANATHAN K V,20727,,,CHANDRASEKAR S,4389,,,,,None of the Above,2716,,,,,,,,,,,DHASTHAKEER K R K,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAMASAMY S,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMMASAI K,361,,,ALAKURAJ O P,249,,,PONNUDURAI P,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,646,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Pattali Makkal Katchi,20727,Desiya Murpokku Dravida Kazhagam,6927,Kongunadu Makkal Desia Katchi,Bharatiya Janata Party,24887,13.17%,Fourth,45.38%,32.21%,3.67%,1.31%,10.97%,0.94%,-9.24%,188950
Anthiyur,RAJAKRISHNAN.K.R,71575,VENKATACHALAM A G,66263,,,MOHANKUMAR P G,1962,RAJA SAMPATH M K,5828,MAHENDRAN G,513,MANIMEKALAI K,1101,GOPAL,11570,,,RAJA D,5995,,,,,None of the Above,1546,,,,,,,,,,,PRABHU E,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MURUGAN R R,370,,,MARAPPA GOUNDER S P,297,MAYILDURAIAN R,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1891,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Pattali Makkal Katchi,11570,Kongunadu Makkal Desia Katchi,5995,Desiya Murpokku Dravida Kazhagam,Bharatiya Janata Party,5312,3.13%,Third,42.21%,39.07%,3.44%,1.16%,6.82%,0.65%,-15.59%,169581
Gobichettipalayam,SENGOTTAIYAN K.A,96177,,,SARAVANAN S.V,84954,GANAPATHI K,3149,,,,,GOWREESAN S,1677,KUPPUSAMY,1045,,,SIVARAJ N.S,3341,,,,,None of the Above,2751,,,,,,,,,,,,,,,,,,,MUNUSAMY M,7531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RANGASAMY E.K,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3592,All India Anna Dravida Munnetra Kazhagam,Indian National Congress,Communist Party of India  (Marxist),7531,Kongunadu Makkal Desia Katchi,3341,Bharatiya Janata Party,Naam Tamilar Katchi,11223,5.48%,unknown,47.00%,41.52%,3.68%,1.54%,0.51%,0.82%,-6.00%,204628
Bhavanisagar,ESWARAN.S,83006,SATHYA.R,69902,,,PALANISWAMI.N.R,3557,,,ARUMUGAM.S.R,1151,SANGEETHA.G,1251,VADIVEL.N.R,1485,,,NAGARAJAN.T,1352,,,,,None of the Above,2980,,,,,,,,,,,,,,,,,,,,,,,,,,,SUNDARAM.P.L,27965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAHALINGAM.K,515,,,SUBBAN.P,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2925,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Communist Party of India,27965,Bharatiya Janata Party,3557,Pattali Makkal Katchi,Independent,13104,6.67%,Third,42.23%,35.56%,14.23%,1.81%,0.76%,0.64%,-15.54%,196551
Udhagamandalam,VINOTH,57329,,,GANESH  R.,67747,RAMAN,5818,KING NARCISSUS  K.,3111,,,JAGAN  R.,748,BALRAJ  M.,781,,,,,,,,,None of the Above,2912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUBRAMANI  N.,554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JALAL ALI  S.,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,728,Indian National Congress,All India Anna Dravida Munnetra Kazhagam,Bharatiya Janata Party,5818,Desiya Murpokku Dravida Kazhagam,3111,Pattali Makkal Katchi,Naam Tamilar Katchi,10418,7.43%,unknown,40.90%,48.34%,2.22%,4.15%,0.56%,0.53%,-3.33%,140155
Gudalur,KALAISELVAN  S.,48749,THIRAVIDAMANI M.,62128,,,PARASURAMAN P.M.,5548,,,,,KARMEGAM   S.,2347,MURUGESAN @ MURUGESH  R.,684,,,,,,,,,None of the Above,1825,,,,,,,,,,,,,,,,,,,TAMILMANI P.,9044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,770,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Communist Party of India  (Marxist),9044,Bharatiya Janata Party,5548,Naam Tamilar Katchi,Pattali Makkal Katchi,13379,10.21%,Fourth,37.19%,47.39%,6.90%,4.23%,0.52%,1.79%,-5.22%,131095
Coonoor,RAMU  A.,61650,MUBARAK  B. M.,57940,,,KUMARAN  B.,3547,CHIDAMBARAM  V.,3989,,,RAMASAMY  P.,822,SENTHIL KUMAR  P.,469,,,,,,,,,None of the Above,2283,unknown,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VALLI  H.,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIVAKUMAR  R.,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3287,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,3989,Bharatiya Janata Party,3547,Independent,Naam Tamilar Katchi,3710,2.75%,Third,45.71%,42.96%,2.96%,2.63%,0.35%,0.61%,-8.58%,134870
Mettuppalayam,CHINNARAJ.O.K,93595,SURENDRAN. S.,77481,,,JAGANATHAN. P.,11036,,,BASKARAN. K.,563,ABDUL VAHAB. A,1509,MOORTHI. K,1870,,,VELLINGIRI. K,1604,NATARAJAN.P,622,,,None of the Above,3408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOHAMED RAFI. S,2209,,,SHANMUGA SUNDARAM.T.R,13324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3540,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Tamil Maanila Congress  (Moopanar),13324,Bharatiya Janata Party,11036,SOCIAL DEMOCRATIC PARTY OF INDIA,Pattali Makkal Katchi,16114,7.65%,Fourth,44.41%,36.76%,6.32%,5.24%,0.89%,0.72%,-11.18%,210761
Avanashi (SC),DHANAPAL P,93366,ANANDHAN E,62692,,,PERUMAL C,8081,,,SAKTHIVEL M,784,SUMATHI P,1514,MARIMUTHU K K,1480,,,PRAGATHEESWARAN B,4373,,,,,None of the Above,3534,,,,,,,,,,,,,,,RANGASAMY P,671,,,,,,,,,,,ARUMUGAM M,15016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DURAIVEERAN S,242,,,,,,,,,,,,,,,,,,,,,,,,,,,SUBIRAMANIAM K,466,GNANATHILAK P,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1605,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Communist Party of India,15016,Bharatiya Janata Party,8081,Kongunadu Makkal Desia Katchi,Naam Tamilar Katchi,30674,15.81%,unknown,48.11%,32.31%,7.74%,4.16%,0.76%,0.78%,-3.78%,194062
Tiruppur (North),VIJAYAKUMAR KN,106717,SAMINATHAN M P,68943,,,CHINNASAMY R,8397,,,,,SIVAKUMR P,2931,SUBRAMANIYAM  M,1750,,,RAVICHANDHARAN D,3988,,,,,None of the Above,3447,,,,,,,,,,,,,,,,,,,,,,,,,,,SUBRAMANIAN M,20061,,,,,,,,,,,,,,,,,,,,,KRISNAAMURTHI .A.S,597,,,KARUPPAIAH R,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2423,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Communist Party of India,20061,Bharatiya Janata Party,8397,Kongunadu Makkal Desia Katchi,Naam Tamilar Katchi,37774,17.19%,unknown,48.56%,31.37%,9.13%,3.82%,0.80%,1.33%,-2.88%,219761
Tiruppur (South),GUNASEKARAN S,73351,SELVARAJ K,57418,,,POINT MANI N,7640,,,RAVI S,201,SHANMUGASUNDARAM K,2506,SAYED MASNSOOR HUSAIN,1093,,,VELUMANI K,1166,,,,,None of the Above,2445,,,,,,,,,,,,,,,RAMESH R,209,,,THANGAVEL. K,13597,KALISWARAN S,327,,,,,,,,,,,,,,,,,,,,,BASHEER AHAMED M,2547,,,,,HARIHARAN (A) HARIHARASUDAN M,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBRAHIM,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1227,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Communist Party of India  (Marxist),13597,Bharatiya Janata Party,7640,SOCIAL DEMOCRATIC PARTY OF INDIA,Naam Tamilar Katchi,15933,9.71%,Fourth,44.68%,34.98%,8.28%,4.65%,0.67%,1.53%,-10.64%,164166
Palladam,NATARAJAN. A,111866,KRISHNAMOORTHY. S,79692,,,THANGARAJ. S,13127,,,,,VELUSAMY. T,2911,KUMAR. S,2292,,,RAJENDRAN. C,6572,,,,,None of the Above,3904,,,,,,,,,,,,,MUTHURATHINAM. K,14841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUDALAIMANI.M,222,,,,,,,,,,,,,,,,,,,SATHISH KUMAR. L,212,,,,,,,CHINNAN. G,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2126,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Marumalarchi Dravida Munnetra Kazhagam,14841,Bharatiya Janata Party,13127,Kongunadu Makkal Desia Katchi,Naam Tamilar Katchi,32174,13.52%,unknown,47.01%,33.49%,6.24%,5.52%,0.96%,1.22%,-5.98%,237966
Sulur,KANAGARAJ  R.,100977,,,MANOHARAN  V.M.C.,64346,MANDHARASALAM  S.D.,13517,THINAKARAN  K.,13106,ABDUL HAKKEM  P.,978,VIJAYARAGAVAN  M.V.,2873,GANESAN  P.K.,1687,,,PREMIER SELVAM @ KALICHAMY  M.,9672,,,,,None of the Above,3679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PON MANOHARAN,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SINGAM SETHU,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1497,All India Anna Dravida Munnetra Kazhagam,Indian National Congress,Bharatiya Janata Party,13517,Desiya Murpokku Dravida Kazhagam,13106,Kongunadu Makkal Desia Katchi,Naam Tamilar Katchi,36631,17.19%,unknown,47.38%,30.19%,6.15%,6.34%,0.79%,1.35%,-5.24%,213112
Kavundampalayam,ARUKUTTY  V.C.,110870,PAYYA GOUNDER @ KRISHNAN  R.,102845,,,NANDAKUMAR  R.,22444,,,KALA  M.,391,KOUSALYA  P.,3735,THANGAVELU  A.,2533,,,KULANDAIVELU  K.S.,2521,VELMURUGAN  M.S.,1004,,,None of the Above,5274,,,,,,,BALAKUMAR  R.,191,,,,,,,,,,,RAMAMURTHY  V.,16874,RAJESH KUMAR  B.,182,,,MAHESHWARAN  G.,149,,,,,,,,,,,,,,,,,,,,,,,THIRUMALAIRAJAN  S.,446,,,,,,,,,,,,,,,,,,,,,,,SHANMUGAM  K.,165,,,,,,,,,,,MAHENDRA BHARATHI  P.,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEERABATHIRAN  K.,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2151,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Bharatiya Janata Party,22444,Communist Party of India  (Marxist),16874,Naam Tamilar Katchi,Pattali Makkal Katchi,8025,2.95%,Third,40.70%,37.76%,6.19%,8.24%,0.93%,1.37%,-18.60%,272400
Coimbatore (North),ARUN KUMAR  P.R.G.,77540,S.MEENALOGU,69816,,,KANNAN ALIAS S.DEVARAJ,16741,S.M.@ MURUGAN  P.,12153,,,BALENDRAN  C.B.,3114,KAMARAJ NATESAN,2196,,,SANGANOOR PREMKUMAR,1036,,,,,None of the Above,4574,,,,,,,MARUTHACHALAM  V.,92,,,,,,,,,,,,,,,,,PUSHPANANTHAM  V.,79,,,,,,,VIJAYAKUMAR  D.,130,,,,,,,,,,,,,,,DENNIS  KOVIL PILLAI  E.,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1108,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Bharatiya Janata Party,16741,Desiya Murpokku Dravida Kazhagam,12153,Naam Tamilar Katchi,Pattali Makkal Katchi,7724,4.09%,Third,41.05%,36.96%,6.43%,8.86%,1.16%,1.65%,-17.90%,188882
Thondamuthur,VELUMANI S.P.,109519,,,,,KARUMUTHU THIYAGARAJAN M.,19043,THIYAGARAJAN K.,7968,,,ANANDHARAJ R.,2408,VIDIYAL JAGANATHAN V.,1315,,,VAIRAVEL S.R.,3005,,,,,None of the Above,3248,,,,,,,,,,,,,,,MUTHUKUMAR M.,409,,,,,,,,,,,,,,,,,,,,,,,,,,,ANSHAR SHERIFF A.,3643,,,,,BRAMMA NAYAGAM  U.,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BALATHANDAPANI S.,501,KOVAI SYED @ SYED MOHAMMED M.A.,45478,,,,,,,,,,,,,,,,,,,,,,,,,,,SATHISH MALLAR N.,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1830,All India Anna Dravida Munnetra Kazhagam,Manithaneya Makkal Katchi,Bharatiya Janata Party,19043,Desiya Murpokku Dravida Kazhagam,7968,SOCIAL DEMOCRATIC PARTY OF INDIA,Kongunadu Makkal Desia Katchi,64041,32.17%,unknown,55.01%,22.84%,4.00%,9.56%,0.66%,1.21%,10.01%,199100
Coimbatore (South),ARJUNAN @ AMMAN ARJUNAN K.,59788,,,MAYURA JAYAKUMAR S.,42369,VANATHI SRINIVASAN,33113,,,SHEEBA K.,253,BENJAMIN FRANKLIN P.,2491,PALANYCHAMY KI.,1111,,,VADIVEL,249,,,,,None of the Above,3331,,,,,,,,,,,,,,,KRISHNAKUMAR.R,188,,,PADMANABHAN C.,7248,BABU K.B.,183,,,,,,,,,,,,,,,,,,,,,ABUTHAHIR V.M,1741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROSHAN S.S.S.,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JEEVALATHA.A,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1116,All India Anna Dravida Munnetra Kazhagam,Indian National Congress,Bharatiya Janata Party,33113,Communist Party of India  (Marxist),7248,Naam Tamilar Katchi,SOCIAL DEMOCRATIC PARTY OF INDIA,17419,11.35%,Third,38.94%,27.60%,4.72%,21.57%,0.72%,1.62%,-22.12%,153533
Singanallur,SINGAI MUTHU  N.,70279,KARTHIK  N.,75459,,,NANDAKUMAR  C.R.,16605,,,KRISHNASAMY  P.,340,KALYANASUNDARAM  S.,4354,ASHOK JAYENDAR  P.,2865,,,KARTHIKEYAN  N.,1107,,,,,None of the Above,3732,,,,,,,,,,,,,ARJUNARAJ  A.,11035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SARGUNAM  K.,306,,,,,,,,,,,,,,,,,,,,,,,MANIAN  R.,148,,,,,,,,,,,SHAJAHAN  S.M.,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANUPRASATH  M.,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1610,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Bharatiya Janata Party,16605,Marumalarchi Dravida Munnetra Kazhagam,11035,Naam Tamilar Katchi,Pattali Makkal Katchi,5180,2.75%,Third,37.28%,40.02%,5.85%,8.81%,1.52%,2.31%,-19.95%,188531
Kinathukadavu,SHANMUGAM  A.,89042,KURICHI PRABHAKARAN,87710,,,MUTHURAMALINGAM  V.,11354,,,,,SELVAKUMAR  U.,1946,CHINNASAMI  R.,1265,,,SELVAKUMAR  S.,1863,,,,,None of the Above,3884,,,,,,,,,,,,,ESWARAN  V.,8387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABDUL KAREEM  M.,1367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PANNERSELVAM  N.,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,885,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Bharatiya Janata Party,11354,Marumalarchi Dravida Munnetra Kazhagam,8387,Naam Tamilar Katchi,Kongunadu Makkal Desia Katchi,1332,0.64%,Third,42.81%,42.17%,4.03%,5.46%,0.61%,0.94%,-14.38%,207989
Pollachi,POLLACHI V JAYARAMAN,78553,TAMILMANI  R.,65185,,,SIVAKUMAR  R.,5363,MUTHUKUMAR  S.,4893,KALAIVANAN  V.,308,UMAMAHESWARI  K.,1369,KANNAPPAN  V.S.,747,,,NITHYANANDHAN  K.,7722,,,,,None of the Above,2254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VIVEK  S.,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2043,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Kongunadu Makkal Desia Katchi,7722,Bharatiya Janata Party,5363,Desiya Murpokku Dravida Kazhagam,Naam Tamilar Katchi,13368,7.93%,unknown,46.59%,38.66%,2.90%,3.18%,0.44%,0.81%,-6.83%,168616
Valparai,KASTHURI VASU  V.,69980,PAULPANDI  T.,61736,,,MURUGESAN  P.,2565,,,,,SARALADEVI  M.,1019,SIGARAVEL  U.,580,,,ANBAZHAGAN  K.V.,1284,,,,,None of the Above,2206,,,,,,,,,,,,,,,,,,,,,,,,,,,MANIBHARATHI  P.,3494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANIMARAN  K.V.,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,642,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Communist Party of India,3494,Bharatiya Janata Party,2565,Kongunadu Makkal Desia Katchi,Naam Tamilar Katchi,8244,5.74%,unknown,48.68%,42.95%,2.43%,1.78%,0.40%,0.71%,-2.63%,143743
